Date;Suburb;Location;Area;Minimum temperature (�C);Maximum temperature (�C);Evaporation (mm);Sunshine (hours);Direction of maximum wind gust;Speed of maximum wind gust (km/h)
1/15/24;Oakford;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;23.01;34.05.00;14.02;12.01;N;31
1/15/24;Serpentine;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;22;33.01.00;14.02;12.05;N;31
1/15/24;Jarrahdale;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;21.02;38.01.00;11;12.01;W;30
1/15/24;Oakford;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;23.01;34.05.00;14.02;12.01;N;31
1/15/24;Serpentine;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;22;33.01.00;14.02;12.05;N;31
1/22/24;Gnangara;MUCHEA and PINJAR;SHIRE OF CHITTERING and CITY OF WANNEROO;15.09;28;10.02;13.01;SSW;41
1/22/24;Wanneroo;MUCHEA and PINJAR;SHIRE OF CHITTERING and CITY OF WANNEROO;15.09;28;10.02;13.01;SSW;41
1/22/24;Pinjar;MUCHEA and PINJAR;SHIRE OF CHITTERING and CITY OF WANNEROO;12.08;29.08.00;10.02;13.01;SW;48
12/9/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;14;29.08.00;14.02;13;SE;61
12/9/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;13.05;29;10.02;13;E;52
12/9/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;14;29.08.00;14.02;13;SE;61
12/9/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;13.05;29;10.02;13;E;52
12/9/23;Ellenbrook;ELLENBROOK;CITY OF SWAN;13.08;28.08.00;10.02;13;ESE;39
12/9/23;Ellenbrook;ELLENBROOK;CITY OF SWAN;13.08;28.08.00;10.02;13;ESE;39
12/23/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;18.03;36;14.02;12.05;E;59
12/23/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;18.03;36;14.02;12.05;E;59
12/23/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;17.07;36.00.00;14.02;13.01;ESE;56
12/23/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;16.06;35.07.00;8.04;13.01;ESE;54
12/23/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;15.09;35.04.00;8.04;13.01;ESE;39
12/23/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;15.09;35.04.00;8.04;13.01;ESE;39
12/23/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;14.01;35.04.00;7.01;12.01;ESE;39
