Date;Suburb;Time;Status;Location;Area;Minimum temperature (�C);Maximum temperature (�C);Rainfall (mm);Evaporation (mm);Sunshine (hours);Direction of maximum wind gust;Speed of maximum wind gust (km/h);Time of maximum wind gust
2/9/24;Casuarina;15.57.00;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,06;41.03.00;0;14,02;12,05;S;31;16.25
2/9/24;Oldbury;15.57.00;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;21;42.06.00;0;14,02;12,05;NE;44;09.21
2/9/24;Serpentine;15.57.00;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,06;41.03.00;0;14,02;12,05;S;31;16.25
2/9/24;Bullsbrook;16.14.00;ADVICE;BULLSBROOK;CITY OF SWAN;21,07;44.08.00;0;14,02;12,05;SW;41;15.33
2/9/24;Spearwood;19.58.00;ADVICE;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;NE;44;09.21
2/9/24;Bibra Lake;19.58.00;ADVICE;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;NE;44;09.21
2/9/24;Coogee;19.58.00;ADVICE;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;NE;44;09.21
2/9/24;Spearwood;20.32.00;ADVICE;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;NE;44;09.21
2/9/24;Coogee;20.32.00;ADVICE;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;NE;44;09.21
2/9/24;Munster;20.32.00;ADVICE;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;NE;44;09.21
1/5/24;East Rockingham;11.00.00;ADVICE;EAST ROCKINGHAM;CITY OF ROCKINGHAM;17;28.07.00;0;14,02;12,05;SSW;52;16.34
1/5/24;Rockingham;11.00.00;ADVICE;EAST ROCKINGHAM;CITY OF ROCKINGHAM;17;28.07.00;0;14,02;12,05;SSW;52;16.34
1/12/24;Jarrahdale;22.23.00;ADVICE;JARRAHDALE;SHIRE OF SERPENTINE-JARRAHDALE;19,07;38.01.00;0;9,02;13;E;43;22.35
1/12/24;Oakford;22.23.00;ADVICE;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;19,03;37.01.00;0;14,02;13;ESE;52;23.23
1/12/24;Serpentine;22.23.00;ADVICE;SERPENTINE;SHIRE OF SERPENTINE-JARRAHDALE;19,01;36.01.00;0;14,02;12,05;ENE;52;21.36
1/19/24;Hamersley;10.34.00;ADVICE;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;21,04;27.06.00;0;10,02;12,08;SW;37;14.14
1/26/24;Southern River;10.51.00;ADVICE;the Collie River;SHIRES OF COLLIE AND DARDANUP;16,06;32.06.00;0;14,02;13;ESE;39;05.44
1/26/24;Southern River;15.39.00;ADVICE;the Collie River;SHIRES OF COLLIE AND DARDANUP;16,06;32.06.00;0;14,02;13;ESE;39;05.44
12/4/23;Hamersley;10.28.00;ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,04;26.05.00;0;8;11,08;SSW;33;15.57
12/4/23;South Lake;10.36.00;ADVICE;Lake Muir Nature Reserve;Shire of Manjimup;16,01;26.01.00;0;8;10,01;SSW;43;15.30
12/4/23;Wanneroo;10.53.00;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18,04;26.05.00;0;8;11,08;SSW;33;15.57
12/4/23;Mariginiup;10.53.00;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;16,05;29.07.00;0;14,02;11,08;WSW;48;14.52
12/4/23;South Lake;15.29.00;ADVICE;Lake Muir Nature Reserve;Shire of Manjimup;16,01;26.01.00;0;8;10,01;SSW;43;15.30
12/4/23;Hamersley;15.39.00;ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,04;26.05.00;0;8;11,08;SSW;33;15.57
12/18/23;Kalamunda;13.34.00;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14,09;30.02.00;0;14,02;12,05;E;70;08.10
12/18/23;Kewdale;13.34.00;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,06;31.06.00;0;13;13,02;E;56;07.21
12/18/23;Welshpool;13.34.00;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,06;31.06.00;0;13;13,02;E;56;07.21
12/18/23;Wattle Grove;13.34.00;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14,09;30.02.00;0;14,02;12,05;E;70;08.10
12/18/23;Belmont;13.34.00;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,07;31.02.00;0;13;13,02;ESE;41;07.10
12/18/23;Kalamunda;15.46.00;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14,09;30.02.00;0;14,02;12,05;E;70;08.10
12/18/23;Kewdale;15.46.00;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,06;31.06.00;0;13;13,02;E;56;07.21
12/18/23;Welshpool;15.46.00;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,06;31.06.00;0;13;13,02;E;56;07.21
12/18/23;Wattle Grove;15.46.00;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14,09;30.02.00;0;14,02;12,05;E;70;08.10
12/18/23;Belmont;15.46.00;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,07;31.02.00;0;13;13,02;ESE;41;07.10
12/25/23;Mundaring;10.12.00;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;ESE;56;06.39
12/25/23;Parkerville;10.12.00;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;ESE;56;06.39
12/25/23;The Spectacles;10.24.00;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20,01;36.02.00;0;14,02;12;SW;41;15.11
12/25/23;Postans;10.24.00;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;37.05.00;0;9,04;12;SW;41;16.16
12/25/23;Jarrahdale;10.33.00;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;19,05;38.08.00;0;9,04;12;WSW;33;13.52
12/25/23;Keysbrook;10.33.00;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,09;35;0;14,02;12,05;NULL;33;NULL
12/25/23;Serpentine;10.33.00;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,08;27.07.00;0;14,02;12,05;SSW;44;16.48
12/25/23;Gidgegannup;10.59.00;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38.08.00;0;9,04;12;WSW;33;13.52
12/25/23;Wooroloo;10.59.00;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38.08.00;0;9,04;12;WSW;33;13.52
12/25/23;Bailup;10.59.00;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,01;38.08.00;0;8,01;12;WSW;33;13.52
12/25/23;Mundaring;10.59.00;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;ESE;56;06.39
12/25/23;Mundaring;14.53.00;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;ESE;56;06.39
12/25/23;Parkerville;14.53.00;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;ESE;56;06.39
12/25/23;Gidgegannup;15.02.00;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38.08.00;0;9,04;12;WSW;33;13.52
12/25/23;Wooroloo;15.02.00;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38.08.00;0;9,04;12;WSW;33;13.52
12/25/23;Bailup;15.02.00;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,01;38.08.00;0;8,01;12;WSW;33;13.52
12/25/23;Mundaring;15.02.00;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;ESE;56;06.39
12/25/23;The Spectacles;15.12.00;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20,01;36.02.00;0;14,02;12;SW;41;15.11
12/25/23;Postans;15.12.00;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;37.05.00;0;9,04;12;SW;41;16.16
12/25/23;Jarrahdale;15.28.00;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;19,05;38.08.00;0;9,04;12;WSW;33;13.52
12/25/23;Keysbrook;15.28.00;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,09;35;0;14,02;12,05;NULL;33;NULL
12/25/23;Serpentine;15.28.00;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,08;27.07.00;0;14,02;12,05;SSW;44;16.48
2/5/24;Swan View;10.28.00;ADVICE;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;13,06;28.07.00;0;14,02;12,05;ESE;44;01.49
