Date;Suburb;Location;Area;Maximum_temperature(C);Evaporation(mm)
12/23/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;36;14,02
12/23/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;36;14,02
12/23/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;36;14,02
12/23/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;36;14,02
12/23/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;35;8,04
12/23/23;Jarrahdale;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;35;8,04
12/23/23;Keysbrook;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;31;14,02
12/23/23;Serpentine;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;27;14,02
2/10/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;44;14,02
2/10/24;Spearwood;SPEARWOOD and LAKE COOGEE;CITY OF COCKBURN;42;14,02
2/10/24;Coogee;SPEARWOOD and LAKE COOGEE;CITY OF COCKBURN;42;14,02
2/10/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;44;14,02
1/13/24;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;41;11
1/13/24;Gnangara;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;40;11
1/13/24;Wanneroo;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;40;11
1/13/24;Pinjar;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;41;11
1/13/24;Yanchep;BAMBUN, MUCHEA, YANCHEP and YEAL;SHIRES OF GINGIN and CHITTERING and the CITY OF WANNEROO;43;14,02
1/13/24;Wanneroo;BAMBUN, MUCHEA, YANCHEP and YEAL;SHIRES OF GINGIN and CHITTERING and the CITY OF WANNEROO;40;11
1/13/24;Success;BEELIAR and SUCCESS;CITY OF COCKBURN;40;14,02
1/13/24;Beeliar;BEELIAR and SUCCESS;CITY OF COCKBURN;40;14,02
1/13/24;Gnangara;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;40;11
1/13/24;Wanneroo;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;40;11
1/13/24;Pinjar;Gnangara-Moore River State Forest near Pinjar;CITY OF WANNEROO and SHIRE OF CHITTERING;41;11
1/13/24;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;41;11
1/27/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;32;14,02
1/27/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;32;14,02
12/3/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;27;6,08
12/3/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;26;6,08
12/3/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;28;14,02
12/3/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;26;6,08
12/3/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;26;6,08
