Date;Suburb;Location;Area;Minimum_temperature (C);Maximum_temperature (C);Evaporation(mm);Sunshine(hours);Speed_of_maximum_wind_gust(km/h)
12/25/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,09;35;14,02;12,05;33
12/25/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,08;27;14,02;12,05;44
2/5/24;Swan View;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;13,06;28;14,02;12,05;44
2/5/24;Stratton;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;14,09;28;10;12,07;31
2/5/24;Midvale;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;13,06;28;14,02;12,05;44
2/5/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28;10;12,07;31
2/5/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28;10;12,07;31
2/5/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;13,06;28;14,02;12,05;44
2/5/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28;10;12,07;31
2/5/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28;10;12,07;31
2/5/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;13,06;28;14,02;12,05;44
2/5/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28;10;12,07;31
2/5/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28;10;12,07;31
2/5/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;13,06;28;14,02;12,05;44
2/12/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;17;38;14,02;12,04;54
1/1/24;Jarrahdale;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;17,01;30;9;11,08;31
1/1/24;Darling Downs;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;16;27;14,02;11,08;48
